Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Bronx,BX02,9,2019,3,13.32,1.12
Bronx,BX03,9,2019,3,9.63,0.98
Bronx,BX04,9,2019,3,12.35,1.09
Bronx,BX05,9,2019,3,11.20,1.05
Bronx,BX06,9,2019,3,14.78,1.17
Bronx,BX07,9,2019,3,14.61,1.16
Bronx,BX08,9,2019,3,20.55,1.31
Bronx,BX09,9,2019,3,9.90,1.00
Bronx,BX10,9,2019,3,20.13,1.30
Bronx,BX11,9,2019,3,15.75,1.20
Bronx,BX12,9,2019,3,19.07,1.28
Manhattan,MN01,9,2019,3,28.29,1.45
Manhattan,MN02,9,2019,3,27.86,1.44
Manhattan,MN03,9,2019,3,14.52,1.16
Manhattan,MN04,9,2019,3,23.94,1.38
Manhattan,MN05,9,2019,3,21.69,1.34
Manhattan,MN06,9,2019,3,23.32,1.37
Manhattan,MN07,9,2019,3,27.81,1.44
Manhattan,MN08,9,2019,3,26.91,1.43
Manhattan,MN09,9,2019,3,18.56,1.27
Manhattan,MN10,9,2019,3,14.58,1.16
Manhattan,MN11,9,2019,3,11.51,1.06
Manhattan,MN12,9,2019,3,16.61,1.22
Queens East,QE07,9,2019,3,20.47,1.31
Queens East,QE08,9,2019,3,16.89,1.23
Queens East,QE10,9,2019,3,19.54,1.29
Queens East,QE11,9,2019,3,24.56,1.39
Queens East,QE12,9,2019,3,14.45,1.16
Queens East,QE13,9,2019,3,20.72,1.32
Queens East,QE14,9,2019,3,12.98,1.11
Queens West,QW01,9,2019,3,20.33,1.31
Queens West,QW02,9,2019,3,21.15,1.33
Queens West,QW03,9,2019,3,14.64,1.17
Queens West,QW04,9,2019,3,14.88,1.17
Queens West,QW05,9,2019,3,24.17,1.38
Queens West,QW06,9,2019,3,20.70,1.32
Queens West,QW09,9,2019,3,22.54,1.35
Staten Island,SI01,9,2019,3,19.68,1.29
Staten Island,SI02,9,2019,3,20.19,1.31
Staten Island,SI03,9,2019,3,20.64,1.31
Brooklyn North,BKN01,11,2019,5,15.70,1.20
Brooklyn North,BKN02,11,2019,5,19.49,1.29
Brooklyn North,BKN03,11,2019,5,11.71,1.07
Brooklyn North,BKN04,11,2019,5,14.97,1.18
Brooklyn North,BKN05,11,2019,5,9.79,0.99
Brooklyn North,BKN08,11,2019,5,15.66,1.19
Brooklyn North,BKN09,11,2019,5,14.14,1.15
Brooklyn North,BKN16,11,2019,5,9.78,0.99
Brooklyn North,BKN17,11,2019,5,13.10,1.12
Brooklyn South,BKS06,11,2019,5,28.70,1.46
Brooklyn South,BKS07,11,2019,5,19.51,1.29
Brooklyn South,BKS10,11,2019,5,23.96,1.38
Brooklyn South,BKS11,11,2019,5,18.11,1.26
Brooklyn South,BKS12,11,2019,5,15.68,1.20
Brooklyn South,BKS13,11,2019,5,14.66,1.17
Brooklyn South,BKS14,11,2019,5,14.21,1.15
Brooklyn South,BKS15,11,2019,5,18.65,1.27
Brooklyn South,BKS18,11,2019,5,14.52,1.16
Bronx,BX01,11,2019,5,6.97,0.84
Bronx,BX02,11,2019,5,13.66,1.14
Bronx,BX03,11,2019,5,9.89,1.00
Bronx,BX04,11,2019,5,12.33,1.09
Bronx,BX05,11,2019,5,11.09,1.05
Bronx,BX06,11,2019,5,15.33,1.19
Bronx,BX07,11,2019,5,14.49,1.16
Bronx,BX08,11,2019,5,20.95,1.32
Bronx,BX09,11,2019,5,10.09,1.00
Bronx,BX10,11,2019,5,20.95,1.32
Bronx,BX11,11,2019,5,16.76,1.22
Bronx,BX12,11,2019,5,20.41,1.31
Manhattan,MN01,11,2019,5,27.17,1.43
Manhattan,MN02,11,2019,5,25.92,1.41
Manhattan,MN03,11,2019,5,14.16,1.15
Manhattan,MN04,11,2019,5,23.40,1.37
Manhattan,MN05,11,2019,5,20.65,1.31
Manhattan,MN06,11,2019,5,23.17,1.36
Manhattan,MN07,11,2019,5,26.82,1.43
Manhattan,MN08,11,2019,5,26.10,1.42
Manhattan,MN09,11,2019,5,18.82,1.27
Manhattan,MN10,11,2019,5,14.16,1.15
Manhattan,MN11,11,2019,5,11.34,1.05
