Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Queens East,QE11,1,2019,7,24.74555788,1.393497249
Queens East,QE12,1,2019,7,13.70604476,1.136912146
Queens East,QE13,1,2019,7,22.54398377,1.353030663
Queens East,QE14,1,2019,7,14.30590775,1.15551542
Queens West,QW01,1,2019,7,19.44832557,1.288882216
Queens West,QW02,1,2019,7,21.37562908,1.329918905
Queens West,QW03,1,2019,7,14.05868028,1.147944554
Queens West,QW04,1,2019,7,15.07186388,1.178166963
Queens West,QW05,1,2019,7,22.86334038,1.359139682
Queens West,QW06,1,2019,7,20.6509817,1.314940702
Queens West,QW09,1,2019,7,21.24288232,1.327213443
Staten Island,SI01,1,2019,7,19.75396319,1.29565424
Staten Island,SI02,1,2019,7,18.66428796,1.271011426
Staten Island,SI03,1,2019,7,19.8127422,1.296944589
Brooklyn North,BKN01,12,2019,6,16.09245367,1.206622267
Brooklyn North,BKN02,12,2019,6,20.47018593,1.311121787
Brooklyn North,BKN03,12,2019,6,12.6284285,1.10134931
Brooklyn North,BKN04,12,2019,6,16.37461334,1.214171054
Brooklyn North,BKN05,12,2019,6,10.96897696,1.040166124
Brooklyn North,BKN08,12,2019,6,17.24148923,1.236574775
Brooklyn North,BKN09,12,2019,6,13.76888295,1.138898708
Brooklyn North,BKN16,12,2019,6,9.89511002,0.995420627
Brooklyn North,BKN17,12,2019,6,13.97408945,1.145323519
Brooklyn South,BKS06,12,2019,6,29.44647874,1.469033369
Brooklyn South,BKS07,12,2019,6,99.0926623,1.996041497
Brooklyn South,BKS10,12,2019,6,24.92053484,1.396557359
Brooklyn South,BKS11,12,2019,6,19.02341326,1.279288443
Brooklyn South,BKS12,12,2019,6,15.29326965,1.184500346
Brooklyn South,BKS13,12,2019,6,14.93946619,1.17433508
Brooklyn South,BKS14,12,2019,6,15.7734157,1.197925749
Brooklyn South,BKS15,12,2019,6,19.32513759,1.286122595
Brooklyn South,BKS18,12,2019,6,15.11200526,1.179322096
Bronx,BX01,12,2019,6,7.754163722,0.889534966
Bronx,BX02,12,2019,6,14.18373627,1.151790647
Bronx,BX03,12,2019,6,10.30675067,1.01312177
Bronx,BX04,12,2019,6,13.22874418,1.121518618
Bronx,BX05,12,2019,6,12.00216673,1.079259656
Bronx,BX06,12,2019,6,15.02668279,1.176863119
Bronx,BX07,12,2019,6,15.40228579,1.187585177
Bronx,BX08,12,2019,6,22.01840482,1.342785852
Bronx,BX09,12,2019,6,10.85041679,1.035446421
Bronx,BX10,12,2019,6,21.17409722,1.325804903
Bronx,BX11,12,2019,6,17.16916496,1.234749173
Bronx,BX12,12,2019,6,21.7728742,1.337915763
Manhattan,MN01,12,2019,6,28.6609501,1.457290583
Manhattan,MN02,12,2019,6,28.29096292,1.451647729
Manhattan,MN03,12,2019,6,14.56466045,1.163300364
Manhattan,MN04,12,2019,6,23.81399684,1.376832292
Manhattan,MN05,12,2019,6,20.98082915,1.321822647
Manhattan,MN06,12,2019,6,23.60408417,1.372987155
Manhattan,MN07,12,2019,6,28.03962921,1.447772266
Manhattan,MN08,12,2019,6,26.91740489,1.430033187
Manhattan,MN09,12,2019,6,18.73551293,1.272665587
Manhattan,MN10,12,2019,6,14.8937236,1.17300329
Manhattan,MN11,12,2019,6,11.8044305,1.07204504
Manhattan,MN12,12,2019,6,16.44643245,1.216071706
Queens East,QE07,12,2019,6,20.24296808,1.30627419
Queens East,QE08,12,2019,6,16.86299312,1.226934663
Queens East,QE10,12,2019,6,19.15002595,1.282169367
Queens East,QE11,12,2019,6,23.84631835,1.377421338
Queens East,QE12,12,2019,6,14.12322791,1.149933967
Queens East,QE13,12,2019,6,21.48869112,1.332209963
Queens East,QE14,12,2019,6,14.56834412,1.163410191
Queens West,QW01,12,2019,6,20.56981226,1.313230328
Queens West,QW02,12,2019,6,21.73467613,1.337153173
Queens West,QW03,12,2019,6,14.37022576,1.157463591
Queens West,QW04,12,2019,6,15.4196574,1.188074724
Queens West,QW05,12,2019,6,23.84857006,1.377462344
Queens West,QW06,12,2019,6,20.30490909,1.307601049
Queens West,QW09,12,2019,6,22.75581971,1.357092484
Staten Island,SI01,12,2019,6,21.45984267,1.331626534
Staten Island,SI02,12,2019,6,19.3221363,1.286055141
Staten Island,SI03,12,2019,6,20.5113874,1.311995037
Brooklyn North,BKN01,9,2019,3,15.69834691,1.195853922
Brooklyn North,BKN02,9,2019,3,19.73296892,1.295192432
Brooklyn North,BKN03,9,2019,3,12.31959319,1.090596367
Brooklyn North,BKN04,9,2019,3,15.98058649,1.203592714
Brooklyn North,BKN05,9,2019,3,10.37750335,1.016092882
Brooklyn North,BKN08,9,2019,3,16.87459515,1.227233362
Brooklyn North,BKN09,9,2019,3,14.47983331,1.160763562
Brooklyn North,BKN16,9,2019,3,9.255590885,0.96640415
Brooklyn North,BKN17,9,2019,3,14.05143111,1.147720559
Brooklyn South,BKS06,9,2019,3,30.61931088,1.485995412
Brooklyn South,BKS07,9,2019,3,20.30531502,1.307609732
Brooklyn South,BKS10,9,2019,3,24.70467618,1.392779166
Brooklyn South,BKS11,9,2019,3,19.11427388,1.281357805
Brooklyn South,BKS12,9,2019,3,15.25805168,1.183499082
Brooklyn South,BKS13,9,2019,3,14.89608893,1.173072256
Brooklyn South,BKS14,9,2019,3,15.24460078,1.183116056
Brooklyn South,BKS15,9,2019,3,19.03197476,1.279483853
Brooklyn South,BKS18,9,2019,3,15.40087712,1.187545456
Bronx,BX01,9,2019,3,7.14188739,0.853812998
Bronx,BX02,9,2019,3,13.31716232,1.124411693
Bronx,BX03,9,2019,3,9.631980206,0.983715581
Bronx,BX04,9,2019,3,12.35362417,1.091794385
Bronx,BX05,9,2019,3,11.19772165,1.049129668
Bronx,BX06,9,2019,3,14.7755803,1.169544546
Bronx,BX07,9,2019,3,14.60864985,1.16461008
Bronx,BX08,9,2019,3,20.55304254,1.312876121
Bronx,BX09,9,2019,3,9.89659218,0.995485674
Bronx,BX10,9,2019,3,20.13337721,1.30391663
Bronx,BX11,9,2019,3,15.75263173,1.19735312
Bronx,BX12,9,2019,3,19.07174507,1.280390433
Manhattan,MN01,9,2019,3,28.28935048,1.451622976
Manhattan,MN02,9,2019,3,27.85819544,1.444952981
Manhattan,MN03,9,2019,3,14.52254813,1.162042824
Manhattan,MN04,9,2019,3,23.94166946,1.379154431
Manhattan,MN05,9,2019,3,21.69460592,1.336351766
Manhattan,MN06,9,2019,3,23.31908594,1.367711523
Manhattan,MN07,9,2019,3,27.80666258,1.444148867
Manhattan,MN08,9,2019,3,26.90732967,1.4298706
Manhattan,MN09,9,2019,3,18.56069004,1.268594118
Manhattan,MN10,9,2019,3,14.57956476,1.163744559
Manhattan,MN11,9,2019,3,11.51186537,1.061145702
Manhattan,MN12,9,2019,3,16.61217008,1.220426369
Queens East,QE07,9,2019,3,20.46794283,1.311074195
Queens East,QE08,9,2019,3,16.89083458,1.227651109
Queens East,QE10,9,2019,3,19.54326694,1.290997164
Queens East,QE11,9,2019,3,24.5623583,1.390270062
Queens East,QE12,9,2019,3,14.44934723,1.159848228
Queens East,QE13,9,2019,3,20.71595816,1.316305025
Queens East,QE14,9,2019,3,12.98081061,1.113301814
Queens West,QW01,9,2019,3,20.33120829,1.30816319
Queens West,QW02,9,2019,3,21.15099186,1.325330738
Queens West,QW03,9,2019,3,14.64262596,1.165618969
Queens West,QW04,9,2019,3,14.87794371,1.172542911
Queens West,QW05,9,2019,3,24.17257764,1.383322964
Queens West,QW06,9,2019,3,20.70021773,1.315974913
