Zone,District,Year,Month,Capture Rate-Paper ,Capture Rate-MGP,Capture Rate-Total
Bronx,BX04,2019,6,33.27,56.30,43.33
Bronx,BX05,2019,6,30.33,53.19,40.31
Bronx,BX06,2019,6,39.45,52.23,45.03
Bronx,BX07,2019,6,37.31,70.33,51.73
Bronx,BX08,2019,6,48.68,84.85,61.08
Bronx,BX09,2019,6,25.00,47.23,34.04
Bronx,BX10,2019,6,38.47,85.84,56.46
Bronx,BX11,2019,6,35.09,62.11,45.36
Bronx,BX12,2019,6,34.86,83.67,53.40
Manhattan,MN01,2019,6,48.08,77.14,55.08
Manhattan,MN02,2019,6,43.26,89.21,54.33
Manhattan,MN03,2019,6,45.43,42.73,44.25
Manhattan,MN04,2019,6,35.39,75.87,45.14
Manhattan,MN05,2019,6,35.18,62.22,41.69
Manhattan,MN06,2019,6,35.83,73.71,44.96
Manhattan,MN07,2019,6,,84.60,53.46
Manhattan,MN08,2019,6,43.85,81.73,52.97
Manhattan,MN09,2019,6,59.04,52.41,56.15
Manhattan,MN10,2019,6,42.19,58.18,49.17
Manhattan,MN11,2019,6,42.33,32.87,38.20
Manhattan,MN12,2019,6,45.97,58.99,51.66
Queens East,QE07,2019,6,48.56,68.19,56.01
Queens East,QE08,2019,6,29.32,53.60,36.50
Queens East,QE10,2019,6,42.14,97.57,61.85
Queens East,QE11,2019,6,61.59,92.74,72.67
Queens East,QE12,2019,6,35.12,70.56,51.39
Queens East,QE13,2019,6,38.06,100.27,60.18
Queens East,QE14,2019,6,34.60,47.20,39.39
Queens West,QW01,2019,6,53.19,78.30,62.72
Queens West,QW02,2019,6,52.99,71.03,59.84
Queens West,QW03,2019,6,32.37,62.51,43.82
Queens West,QW04,2019,6,36.27,64.57,47.02
Queens West,QW05,2019,6,47.77,85.11,61.95
Queens West,QW06,2019,6,29.73,73.82,40.35
Queens West,QW09,2019,6,44.33,79.06,57.52
Staten Island,SI01,2019,6,48.20,90.40,63.20
Staten Island,SI02,2019,6,52.82,84.09,63.94
Staten Island,SI03,2019,6,54.78,95.37,69.21
Brooklyn North,BKN01,2019,3,48.19,47.24,47.80
Brooklyn North,BKN02,2019,3,31.23,56.42,38.38
Brooklyn North,BKN03,2019,3,35.03,44.67,38.98
Brooklyn North,BKN04,2019,3,37.49,69.39,50.56
Brooklyn North,BKN05,2019,3,24.67,44.59,32.83
Brooklyn North,BKN08,2019,3,45.89,60.51,51.88
Brooklyn North,BKN09,2019,3,31.43,46.24,36.82
Brooklyn North,BKN16,2019,3,21.80,34.77,27.11
Brooklyn North,BKN17,2019,3,26.55,61.67,39.33
Brooklyn South,BKS06,2019,3,43.59,81.30,54.30
Brooklyn South,BKS07,2019,3,41.63,71.71,52.58
Brooklyn South,BKS10,2019,3,47.79,76.14,58.11
Brooklyn South,BKS11,2019,3,42.09,63.92,50.04
Brooklyn South,BKS12,2019,3,47.14,45.92,46.64
Brooklyn South,BKS13,2019,3,41.83,50.83,45.88
